Usuarios,Bitrate,LatenciaMedia,LatenciaError95,JitterMedio,JitterError95,PerdidaMedia,PerdidaError95
450,120,13.3018,0.211451,4.23133,0.00753771,0.834528,0.0248777
500,10,163.498,10.2576,56.1129,1.77373,0.864075,0.0415578
500,20,82.0233,1.62594,28.3262,0.341516,0.831425,0.0203712
500,30,59.8498,1.60316,19.3772,0.287275,0.789513,0.0344537
500,40,52.2884,5.28526,15.7194,0.256716,0.700599,0.0715175
500,50,46.1726,2.34351,13.337,0.153675,0.639674,0.0567338
500,60,43.392,1.51741,11.9231,0.103272,0.499254,0.0233237
500,70,35.8634,0.672052,10.5349,0.0842857,0.466101,0.0140204
500,80,33.2723,1.11663,9.60502,0.0981399,0.387256,0.0170251
500,90,31.4833,0.604762,9.01739,0.0682437,0.308251,0.0114716
500,100,29.2131,0.644194,8.80531,0.101345,0.327568,0.0161046
500,110,15.4325,0.164904,4.73426,0.011977,0.860056,0.0267743
500,120,14.2171,0.126444,4.62268,0.00760508,0.902955,0.0210667
